ticker,exchange,benchmark,major,sub
HRB,NYSE,XLY,消费,消费服务
SIND,NYSE,SIL,矿业,银
IMNM,NASDAQ,XBI,医疗健康,生物制药
MSGE,NYSE,XLC,通讯服务,影视娱乐
ATRO,NASDAQ,ITA,航空国防,航空航天国防
PSX,NYSE,XLE,油气,炼油
EROC,NYSE,GRID,公用电力,电气设备
STRL,NASDAQ,XLI,工业,建筑工程
CPAY,NYSE,XLF,金融地产,支付
JEF,NYSE,XLF,金融地产,投行
BAM,NYSE,XLF,金融地产,资管
TPG,NASDAQ,XLF,金融地产,私募股权
SEZL,NASDAQ,XLF,金融地产,消费金融
DAVE,NASDAQ,XLF,金融地产,消费金融
ESTC,NYSE,IGV,软件,软件
FROG,NASDAQ,IGV,软件,软件
PATH,NYSE,IGV,软件,软件
NTNX,NASDAQ,IGV,软件,软件
GEN,NASDAQ,IGV,软件,网络安全
PACS,NYSE,XLV,医疗健康,医疗服务
AVAH,NASDAQ,XLV,医疗健康,医疗服务
AMAT,NASDAQ,SOXX,半导体,半导体设备
NTAP,NASDAQ,XLK,科技硬件,硬件
RDDT,NYSE,XLC,通讯服务,互联网媒体
HEI,NYSE,ITA,航空国防,航空航天国防
NGL,NYSE,AMLP,油气,油气中游
CFR,NYSE,XLF,金融地产,银行
NU,NYSE,XLF,金融地产,银行
VIRT,NASDAQ,XLF,金融地产,资本市场
JNJ,NYSE,XLV,医疗健康,制药
NHC,NYSE,XLV,医疗健康,医疗服务
HTFL,NASDAQ,XLV,医疗健康,医疗科技
LQDA,NASDAQ,XBI,医疗健康,生物制药
GMAB,NASDAQ,XBI,医疗健康,生物制药
ARMK,NYSE,XLY,消费,餐饮服务
